Question,Answer,Contexts,Ground Truth
شرایط تاجر بودن چیست؟,شرایط تاجر بودن شامل قرار دادن شغل معمولی خود در معاملات تجارتی است.,"['قانون تجارت - ماده 475 - حكم فوق درباره دعوي خياراتي نيز مجري خواهد بود كه تاجر ورشكسته نسبت باموال متصرفي خود يا ديگران دارد مشروط براينكه بر ضرر طلبكارها نباشد.\n\nفصل هفتم - در قرارداد ارفاقي و تصفيه حساب تاجر ورشكسته\n\nمبحث اول - در دعوت طلبكارها و مجمع عمومي آنها\n\n', 'قانون تجارت - ماده 1 - تاجر كسي است كه شغل معمولي خود را معاملات تجارتي قرار بدهد.\n\n', 'قانون تجارت - ماده 415 - ورشكستگي تاجر بحكم محكمه بدايت در موارد ذيل اعلام مي شود:\nالف) بر حسب اظهار خود تاجر.\nب) بموجب تقاضاي يك يا چند نفر از طلبكارها.\nج) بر حسب تقاضاي مدعيالعموم بدايت.\n\n']",تاجر کسی است که شغل معمولی خود را معاملات تجارتی قرار دهد. (ماده 1)
خرید یا تحصیل مال منقول برای چه منظوری جزء معاملات تجارتی محسوب می‌شود؟,برای حوائج تجارتی خود.,"['قانون مدني - ماده 442 - در مورد تبعُّض صفقه قسمتي از ثمن كه بايد بمشتري بر گردد بطريق ذيل حساب ميشود:\nآن قسمت از مبيع كه بملكيت مشتري قرار گرفته منفرداً قيمت ميشود و هر نسبتي كه بين قيمت مزبور و قيمتي كه مجموع مبيع در حال اجتماع دارد پيدا شود بهمان نسبت از ثمن را بايع نگاهداشته و بقيه را بايد بمشتري رد نمايد.\n\n', 'قانون تجارت - ماده 3 - معاملات ذيل باعتبار تاجر بودن متعاملين يا يكي از آنها تجارتي محسوب ميشود:\n1) كليه معاملات بين تجار و كسبه و صرافان و بانكها.\n2) كليه معاملاتي كه تاجر يا غير تاجر براي حوائج تجارتي خود مينمايد.\n3) كليه معاملاتيكه اجزاء يا خدمه يا شاگرد تاجر براي امور تجارتي ارباب خود مينمايد.\n4) كليه معاملات شركت هاي تجارتي.\n\n', 'قانون تجارت - ماده 335 - دلال كسي است كه در مقابل اجرت واسطه انجام معاملاتي شده يا براي كسيكه ميخواهد معاملاتي نمايد طرف معامله پيدا ميكند.اصولا قرارداد دلالي تابع مقررات راجع بوكالت است.\n\n']",برای فروش یا اجاره، چه تصرفاتی در آن شده باشد یا نشده باشد. (ماده 2)
انواع عملیاتی که جزء معاملات تجارتی محسوب می‌شوند، کدامند؟,معاملات جزئی، معاملات متوسط و معاملات عمده از انواع عملیاتی که جزء معاملات تجارتی محسوب می‌شوند.,"['قانون محاسبات عمومي كشور - ماده 82 - مزايده در معاملات به طرق زير انجام ميپذيرد:\n\nالف - در مورد معاملات جزئي به بيشترين بهاي ممكن به تشخيص و مسووليت مأمور فروش.\n\nب - در مورد معاملات متوسط با حراج.\n\nج - در مورد معاملات عمده با انتشار آگهي مزايده عمومي.\n\n', 'قانون تجارت - ماده 173 - هر گاه شركت مختلط سهامي ورشكست شود شركاءِ سهامي تمام قيمت سهام خود را نپرداخته باشند مدير تصفيه آنچه را كه بر عهده آنها باقي است وصول ميكند.\n\n', 'قانون تجارت - ماده 212 - متصديان تصفيه حساب شركاء را نسبت بهم و سهم هر يك از شركاء را از نفع و ضرر معين ميكنند - رفع اختلاف در تقسيم بمحكمه بدايت رجوع ميشود.\n\n']",عملیات دلالی، حق‌العمل‌کاری، عاملی و تأسیسات مربوط به انجام بعضی امور. (ماده 2)
تأسیس و به کار انداختن کارخانه تحت چه شرایطی جزء معاملات تجارتی است؟,تأسیس و به کار انداختن کارخانه تحت شرایط تعهد حداقل بیست درصد سرمایه شرکت و تودیع حداقل سی و پنج درصد مبلغ تعهد شده در حساب بانکی مربوطه، جزء معاملات تجارتی است.,"['قانون تجارت - ماده 152 - هر گاه شركت بطريقي غير از ورشكستگي منحل شود و شريك با مسئوليت محدود هنوز تمام يا قسمتي از سهم الشركه خود را نپرداخته و يا پس از تأديه مسترد داشته است طلبكاران شركت حق دارند معادل آنچه كه از بابت سهم الشركه باقي مانده است مستقيماً بر عليه شريك با مسئولت [مسئوليت] محدود اقامه دعوي نمايند. اگر شركت ورشكست شود حق مزبور را مدير تصفيه خواهد داشت.\n\n', 'قانون تجارت - ماده 194 - در صورتيكه شركت تعاوني توليد يا مصرف مطابق اصول شركت سهامي تشكيل شود حداقل سهام يا قطعات سهام ده ريال خواهد بود و هيچيك از شركاء نميتوانند در مجمع عمومي بيش از يك رأي داشته باشد.\n\nفصل دوم\nدر مقررات راجعه بثبت شركتها و نشر شركتنامهها\n\n', 'قانون تجارت - ماده 6(الحاقي 24ˏ12ˏ1347)- براي تأسيس شركتهاي سهامي عام مؤسسين بايد اقلا بيست درصد سرمايه شركت را خود تعهد كرده و لااقل سي و پنج درصد مبلغ تعهد شده را در حسابي بنام شركت در شرف تأسيس نزد يكي از بانكها سپرده سپس اظهارنامهاي به ضميمه طرح اساسنامه شركت و طرح اعلاميه پذيرهنويسي سهام كه به امضاء كليه مؤسسين رسيده باشد در تهران باداره ثبت شركتها و در شهرستانها بدايره ثبت شركتها و در نقاطي كه دايرهثبت شركتها وجود ندارد به اداره ثبت اسناد و املاك محل تسليم و رسيد دريافت كنند\n\nتبصره (الحاقي 24ˏ12ˏ1347)- هرگاه قسمتي از تعهد مؤسسين بصورت غير نقد باشد بايد عين آن يا مدارك مالكيت آنرا در همان بانكي كه براي پرداخت مبلغ نقديحساب باز شده است توديع و گواهي بانك را به ضميمه اظهارنامه و ضمائم آن بمرجع ثبت شركتها تسليم نمايند.\n\n']",برای رفع حوائج شخصی نباشد. (ماده 2)
چه نوع معاملاتی بین تجار و کسبه تجارتی محسوب می‌شود؟,کلیه معاملات بین تجار و کسبه تجارتی محسوب می‌شود.,"['قانون تجارت - ماده 2 - معاملات تجارتي از قرار ذيل است:\n\n1) خريد يا تحصيل هر نوع مال منقول بقصد فروش يا اجاره اعم از اينكه تصرفاتي در آن شده يا نشده باشد.\n\n2) تصدي به حمل و نقل از راه خشكي يا آب يا هوا بهر نحوي كه باشد.\n\n3) هر قسم عمليات دلالي يا حقالعمل كاري (كميسيون) و يا عاملي و همچنين تصدي بهر نوع تأسيساتي كه براي انجام بعضي امور ايجاد ميشود از قبيل تسهيل معاملات ملكي يا پيدا كردن خدمه يا تهيه و رسانيدن ملزومات و غيره.\n\n4) تأسيس و به كار انداختن هر قسم كارخانه مشروط بر اينكه براي رفع حوائج شخصي نباشد.\n\n5) تصدي بعمليات حراجي.\n\n6) تصدي بهر قسم نمايشگاههاي عمومي.\n\n7) هر قسم عمليات صرافي و بانكي.\n\n8) معاملات برواتي اعم از اينكه بين تاجر يا غير تاجر باشد.\n\n9) عمليات بيمه بحري و غير بحري\n\n10) كشتي سازي و خريد و فروش كشتي و كشتيراني داخلي يا خارجي و معاملات راجعه به آنها.\n\n', 'قانون تجارت - ماده 3 - معاملات ذيل باعتبار تاجر بودن متعاملين يا يكي از آنها تجارتي محسوب ميشود:\n1) كليه معاملات بين تجار و كسبه و صرافان و بانكها.\n2) كليه معاملاتي كه تاجر يا غير تاجر براي حوائج تجارتي خود مينمايد.\n3) كليه معاملاتيكه اجزاء يا خدمه يا شاگرد تاجر براي امور تجارتي ارباب خود مينمايد.\n4) كليه معاملات شركت هاي تجارتي.\n\n', 'قانون تجارت - ماده 475 - حكم فوق درباره دعوي خياراتي نيز مجري خواهد بود كه تاجر ورشكسته نسبت باموال متصرفي خود يا ديگران دارد مشروط براينكه بر ضرر طلبكارها نباشد.\n\nفصل هفتم - در قرارداد ارفاقي و تصفيه حساب تاجر ورشكسته\n\nمبحث اول - در دعوت طلبكارها و مجمع عمومي آنها\n\n']",کلیه معاملات بین تجار و کسبه و صرافان و بانک‌ها. (ماده 3)
دفاتری که تاجر باید داشته باشد کدامند؟,دفاتر احضار و دفاتر تصفیه.,"['قانون تجارت - ماده 1 - تاجر كسي است كه شغل معمولي خود را معاملات تجارتي قرار بدهد.\n\n', 'قانون تجارت - ماده 475 - حكم فوق درباره دعوي خياراتي نيز مجري خواهد بود كه تاجر ورشكسته نسبت باموال متصرفي خود يا ديگران دارد مشروط براينكه بر ضرر طلبكارها نباشد.\n\nفصل هفتم - در قرارداد ارفاقي و تصفيه حساب تاجر ورشكسته\n\nمبحث اول - در دعوت طلبكارها و مجمع عمومي آنها\n\n', 'قانون تجارت - ماده 448 - مدير تصفيه تاجر ورشكسته را براي بستن دفاتر احضار مينمايد براي حضور او منتها چهل و هشت ساعت مهلت داده ميشود در صورتيكه تاجر حاضر نشد با حضور عضو ناظر اقدام بعمل خواهد آمد - تاجر ورشكسته ميتواند در موقع كليه عمليات تأمينيه حاضر باشد.\n\n']",دفتر روزنامه، دفتر کل، دفتر دارایی، و دفتر کپیه. (ماده 6)
دفتر روزنامه چه نوع اطلاعاتی را باید ثبت کند؟,دفتر روزنامه باید کلیه معاملات را لااقل هفته یکبار از دفتر روزنامه استخراج و انواع مختلف آن را تشخیص و جدا کرده و هر نوعی را در صفحه مخصوصی در آن دفتر بطور خلاصه ثبت کند.,"['قانون آيين دادرسي كيفري - ماده 344- هرگاه ابلاغ احضاريه به علت معلوم نبودن محل اقامت متهم ممكن نباشد و به طريق ديگر نيز ابلاغ احضاريه مقدور نشود، وقت رسيدگي تعيين و مفاد احضاريه يك نوبت در يكي از روزنامه هاي كثيرالانتشار ملي يا محلي آگهي مي شود. تاريخ انتشار آگهي تا روز رسيدگي نبايد كمتر از يك ماه باشد. چنانچه نوع اتهام با حيثيت اجتماعي متهم يا عفت عمومي منافي باشد در آگهي قيد نمي شود.\n\n', 'قانون تجارت - ماده 8 - دفتر كل دفتري است كه تاجر بايد كليه معاملات را لااقل هفته يكمرتبه از دفتر روزنامه استخراج و انواع مختلفه آن را تشخيص و جدا كرده هر نوعي را در صفحه مخصوصي در آن دفتر بطور خلاصه ثبت كند.\n\n', 'قانون امور حسبي  - ماده 308 - وقت رسيدگي بايد طوري معين شود كه فاصله بين ابلاغ احضاريه و روز دادرسي كمتر از ده روز نباشد.\n\n']",مطالبات، دیون، داد و ستد تجارتی و معاملات راجع به اوراق تجارتی و جمیع واردات و صادرات تجارتی. (ماده 7)
دفتر کل چگونه باید تنظیم شود؟,دفتر برای امضاء بمتصدی امضاء تسلیم شده باید دارای نمره ترتیبی و قیطان کشیده باشد و متصدی امضاء مکلف است صفحات دفتر را شمرده در صفحه اول و آخر هر دفتر مجموع عدد صفحات آن را با تصریح باسم و رسم صاحب دفتر نوشته و با قید تاریخ امضاء و دو طرف قیطان را با مهر سربی که وزارت عدلیه برای این مقصود تهیه می‌نماید منگنه کند. همچنین لازم است کلیه اعداد حتی تاریخ با تمام حروف نوشته شود.,"['قانون آيين دادرسي كيفري - ماده 161- جز در موارد فوري، پس از پرداخت دستمزد، به كارشناس اخطار مي شود كه ظرف مهلت تعيين شده در قرار كارشناسي، نظر خود را تقديم كند. مراتب وصول نظر كارشناس به طرفين ابلاغ مي شود. طرفين مي توانند ظرف يك هفته از تاريخ ابلاغ، جهت ملاحظه نظر كارشناس به دفتر بازپرسي مراجعه و نظر خود را به طور كتبي اعلام كنند.\n\n', 'قانون مدني - ماده 111 - هر گاه از دو طرف بنا متّصل بديوار بطور ترصيف باشد و يا از هر دو طرف بروي ديوار سرتير گذاشته شده باشد، آن ديوار محكوم باشتراك است مگر اينكه خلاف آن ثابت شود.\n\n', 'قانون تجارت - ماده 12 - دفتري كه براي امضاء بمتصدي امضاء تسليم ميشود بايد داراي نمره ترتيبي و قيطان كشيده باشد و متصدي امضاء مكلف است صفحات دفتر را شمرده در صفحه اول و آخر هر دفتر مجموع عدد صفحات آنرا با تصريح باسم و رسم صاحب دفتر نوشته با قيد تاريخ امضاء و دو طرف قيطان را با مهر سربي كه وزارت عدليه براي اين مقصود تهيه مينمايد منگنه كند. لازم است كليه اعداد حتي تاريخ با تمام حروف نوشته شود.\n\n']",کلیه معاملات را لااقل هفته یک مرتبه از دفتر روزنامه استخراج و ثبت کند. (ماده 8)
دفتر دارایی چه اطلاعاتی را شامل می‌شود؟,دفتر دارایی شامل اطلاعاتی از قبیل مبدأ، مسیر، تاریخ، زمان، مدت و حجم ارتباط و نوع خدمات مربوطه می‌شود.,"['قانون آيين دادرسي كيفري - ماده 667 (الحاقي 08ˏ07ˏ1393)ـ ارائه \u200e دهندگان خدمات دسترسي موظفند داده \u200e هاي ترافيك را حداقل تا شش ماه پس از ايجاد حفظ نمايند و اطلاعات كاربران را حداقل تا شش ماه پس از خاتمه اشتراك نگهداري كنند.\n\nتبصره 1(الحاقي 08ˏ07ˏ1393)ـ داده ترافيك، هرگونه داده اي است كه سامانه \u200eهاي رايانه اي در زنجيره ارتباطات رايانه \u200e اي و مخابراتي توليد ميكنند تا امكان رديابي آنها از مبدأ تا مقصد وجود داشته باشد. اين داده \u200e ها شامل اطلاعاتي از قبيل مبدأ، مسير، تاريخ، زمان، مدت و حجم ارتباط و نوع خدمات مربوطه مي \u200e شود.\n\nتبصره 2(الحاقي 08ˏ07ˏ1393)ـ اطلاعات كاربر، هرگونه اطلاعات راجع به كاربر خدمات دسترسي از قبيل نوع خدمات، امكانات فني مورد استفاده و مدت زمان آن، هويت، نشاني جغرافيايي يا پستي يا قرارداد اينترنت ( IP )، شماره تلفن و ساير مشخصات فردي را شامل ميشود.\n\n', 'قانون آيين دادرسي كيفري - ماده 668 (الحاقي 08ˏ07ˏ1393)ـ ارائه دهندگان خدمات ميزباني داخلي موظفند اطلاعات كاربران خود را حداقل تا شش ماه پس از خاتمه اشتراك و محتواي ذخيره شده و داده ترافيك حاصل از تغييرات ايجاد شده را حداقل تا پانزده روز نگهداري كنند.\n\n', 'قانون مجازات اسلامي - ماده 760 (منسوخه 08ˏ07ˏ1393)- ارائه\u200e دهندگان خدمات دسترسي موظفند داده\u200e هاي ترافيك را حداقل تا شش ماه پس از ايجاد و اطلاعات كاربران را حداقل تا شش ماه پس از خاتمه اشتراك نگهداري كنند.\n\nتبصره 1 (منسوخه 05ˏ03ˏ1388)ـ داده ترافيك هرگونه داده\u200e اي است كه سامانه\u200e هاي رايانه \u200eاي در زنجيره ارتباطات رايانه \u200eاي و مخابراتي توليد مي كنند تا امكان رديابي آنها از مبدأ تا مقصد وجود داشته باشد. اين داده \u200eها شامل اطلاعاتي از قبيل مبدأ، مسير، تاريخ، زمان، مدت و حجم ارتباط و نوع خدمات مربوطه مي \u200eشود.\n\nتبصره 2 (منسوخه 05ˏ03ˏ1388)ـ اطلاعات كاربر هرگونه اطلاعات راجع به كاربر خدمات دسترسي از قبيل نوع خدمات، امكانات فني مورد استفاده و مدت زمان آن، هويت، آدرس جغرافيايي يا پستي يا پروتكل اينترنتي (IP)، شماره تلفن و ساير مشخصات فردي اوست.\n\n']",صورت جامعی از کلیه دارایی منقول و غیر منقول و دیون و مطالبات سال گذشته. (ماده 9)
نحوه ثبت مراسلات و مخابرات در دفتر کپیه چگونه است؟,مراسلات و مخابرات در دفتر کپیه باید به صورت کتبی ثبت شود.,"['قانون آيين دادرسي كيفري - ماده 161- جز در موارد فوري، پس از پرداخت دستمزد، به كارشناس اخطار مي شود كه ظرف مهلت تعيين شده در قرار كارشناسي، نظر خود را تقديم كند. مراتب وصول نظر كارشناس به طرفين ابلاغ مي شود. طرفين مي توانند ظرف يك هفته از تاريخ ابلاغ، جهت ملاحظه نظر كارشناس به دفتر بازپرسي مراجعه و نظر خود را به طور كتبي اعلام كنند.\n\n', 'قانون حمايت خانواده - ماده ۹ـ تشريفات و نحوه ابلاغ در دادگاه خانواده تابع مقررات قانون آيين دادرسي دادگاههاي عمومي و انقلاب در امور مدني است، لكن چنانچه طرفين دعوي طرق ديگري از قبيل پست، نمابر، پيام تلفني و پست الكترونيك را براي اين منظور به دادگاه اعلام كنند، دادگاه مي تواند ابلاغ را به آن طريق انجام دهد. در هر صورت، احراز صحت ابلاغ با دادگاه است.\n\n', 'قانون آيين دادرسي كيفري - ماده 380- دادنامه به طرفين يا وكيل آنان و دادستان ابلاغ مي شود و در صورتي كه رأي دادگاه حضوري به طرفين ابلاغ شود، دادن نسخه اي از رأي يا تصوير مصدق آن به طرفين الزامي است. در اين صورت، ابلاغ مجدد ضرورت ندارد.\n\nتبصره 1- مدير دفتر دادگاه مكلف است حداكثر ظرف سه روز پس از امضاي دادنامه، آن را براي ابلاغ ارسال نمايد.\n\nتبصره 2- در جرائم منافي عفت، چنانچه دادنامه حاوي مطالبي باشد كه اطلاع شاكي از آن حرام است و همچنين در جرائم عليه امنيت داخلي و خارجي كشور، ابلاغ دادنامه حضوري بوده و ذي نفع مي تواند از مفاد كامل رأي اطلاع يافته و از آن استنساخ نمايد.\n\n']",کلیه مراسلات و مخابرات و صورت‌حساب‌های صادره باید ترتیب تاریخ ثبت شود. (ماده 10)
