Question,Answer,Madde,Predicted_Madde,MRR
چه شرایطی برای تشکیل و ثبت یک شرکت با مسئولیت محدود وجود دارد و چگونه می‌توان اساسنامه آن را تغییر داد؟,برای تشکیل یک شرکت با مسئولیت محدود نیاز به پرداخت کامل سرمایه نقدی و تسلیم سهم‌الشرکه‌های غیر نقدی است. هرگونه تغییر در اساسنامه نیاز به اکثریت عددی شرکاء دارد. (مواد 96، 97 و 111),"[96, 97, 111]","[60, 174, 8, 69, 278]",0.0
در یک شرکت با مسئولیت محدود، چگونه مدیریت انجام می‌شود و چه مسئولیت‌هایی بر عهده مدیران است؟,مدیریت شرکت با مسئولیت محدود توسط یک یا چند مدیر انجام می‌شود که می‌توانند از بین شرکاء یا افراد خارج از شرکت باشند. مدیران اختیارات لازم برای نمایندگی و اداره شرکت را دارند مگر اینکه در اساسنامه ترتیب دیگری مقرر شده باشد. (مواد 104 و 105),"[104, 105]","[145, 94, 95, 144, 1]",0.0
چه فرآیندی باید برای انحلال یک شرکت با مسئولیت محدود دنبال شود و چه زمانی مسئولیت مدیران در قبال خسارات ناشی از بطلان شرکت آغاز می‌شود؟,انحلال شرکت ممکن است در صورت تصمیم شرکاء یا بر اساس دلایل قانونی مانند ضررهای وارده که نصف سرمایه شرکت را از بین ببرد، اتفاق بیفتد. مدیران و هیئت نظار در صورت انجام ندادن وظایف خود در زمان بطلان، مسئول خسارات ناشی از بطلان هستند. (مواد 114 و 101),"[114, 101]","[124, 174, 138, 131, 152]",0.0
تفاوت‌های اصلی بین شرکت‌های با مسئولیت محدود و شرکت‌های تضامنی در زمینه مدیریت، انتقال سهم‌الشرکه و مسئولیت‌های شرکاء چیست؟,در شرکت با مسئولیت محدود، مدیریت می‌تواند توسط افراد خارج از شرکاء انجام شود و انتقال سهم‌الشرکه نیاز به رضایت شرکاء دارد. در شرکت تضامنی، همه شرکاء به صورت تضامنی مسئول قروض هستند و انتقال سهم‌الشرکه به رضایت تمام شرکاء بستگی دارد. (مواد 104، 102، 123 و 116),"[104, 102, 123, 116]","[164, 213, 94, 144, 203]",0.0
چگونه می‌توان یک شرکت تضامنی را به شرکت سهامی تبدیل کرد و چه شرایطی باید رعایت شود؟,تبدیل یک شرکت تضامنی به شرکت سهامی نیاز به تصویب تمام شرکاء دارد و باید تمام مقررات مربوط به شرکت‌های سهامی رعایت شود. (ماده 135),[135],[135],1.0
در چه شرایطی یک شرکت با مسئولیت محدود می‌تواند از سهم‌الشرکه‌های غیر نقدی استفاده کند و چه مسئولیتی بر عهده شرکاء در قبال این سهم‌الشرکه‌ها است؟,سهم‌الشرکه‌های غیر نقدی باید هنگام تشکیل شرکت تقویم و تسلیم شوند. شرکاء در قبال قیمت تعیین شده برای سهم‌الشرکه‌های غیر نقدی در مقابل اشخاص ثالث مسئولیت تضامنی دارند. (مواد 96 و 98),"[96, 98]","[156, 145, 174, 124, 95]",0.0
چه مواردی موجب بطلان یک شرکت با مسئولیت محدود می‌شود و چه تبعاتی برای شرکاء و مدیران دارد؟,تشکیل شرکت برخلاف مواد 96 و 97 موجب بطلان شرکت می‌شود. شرکاء و مدیران در این صورت در مقابل اشخاص ثالث مسئول خسارات ناشی از بطلان هستند. (مواد 100 و 101),"[100, 101]","[172, 128, 94, 277, 156]",0.0
در صورت فوت یا محجوریت یکی از شرکاء شرکت تضامنی، چه اقداماتی باید انجام شود و چه تأثیری بر ادامه فعالیت شرکت دارد؟,در صورت فوت یا محجوریت یکی از شرکاء، بقاء شرکت به رضایت سایر شرکاء و قائم مقام متوفی یا محجور بستگی دارد. قائم مقام باید در مدت یک ماه نسبت به ادامه یا عدم ادامه فعالیت شرکت اعلام نظر کند. (مواد 139 و 140),"[139, 140]",[139],1.0
چه شرایطی برای انتقال سهم‌الشرکه در شرکت‌های تضامنی و با مسئولیت محدود وجود دارد و چه تفاوت‌هایی در این دو نوع شرکت مشاهده می‌شود؟,در شرکت‌های با مسئولیت محدود، انتقال سهم‌الشرکه نیاز به رضایت شرکاء دارد، در حالی که در شرکت‌های تضامنی، هیچیک از شرکاء نمی‌توانند سهم خود را بدون رضایت تمام شرکاء منتقل کنند. (مواد 102، 103 و 123),"[102, 103, 123]","[214, 172, 144, 94, 164]",0.0
فرآیند اتخاذ تصمیمات در شرکت‌های با مسئولیت محدود و تضامنی چگونه است و چه نقشی در اداره این شرکت‌ها دارد؟,در شرکت‌های با مسئولیت محدود، تصمیمات باید با اکثریت لااقل نصف سرمایه اتخاذ شود. در شرکت‌های تضامنی، تصمیمات با تراضی تمام شرکاء یا بر اساس مقررات خاص اساسنامه انجام می‌شود. (مواد 106 و 136),"[106, 136]","[144, 214, 53, 167, 172]",0.0
