Question,Answer,Madde,Predicted_Madde,MRR
تفاوت بین معاملات تجارتی که توسط تاجر انجام می‌شود و معاملاتی که برای رفع حوائج شخصی انجام می‌شوند چیست؟,معاملات تجارتی شامل خرید، فروش، دلالی و سایر فعالیت‌های تجاری است که به منظور کسب سود انجام می‌شوند، در حالی که معاملات برای رفع حوائج شخصی شامل فعالیت‌هایی نیست که به منظور کسب سود تجاری انجام می‌شوند. (ماده 2 و ماده 3),"[2, 3]","[1, 3]",0.5
چگونه دفتر روزنامه و دفتر کل باید نگهداری شوند و چه اطلاعاتی باید در آنها ثبت شود؟,دفتر روزنامه باید روزانه تمام مطالبات، دیون، و داد و ستد تجارتی ثبت شود، در حالی که دفتر کل باید حداقل هفته‌ای یک بار کلیه معاملات را از دفتر روزنامه استخراج و ثبت کند. (ماده 7 و ماده 8),"[7, 8]",[7],1.0
نقش دفتر دارایی و دفتر کپیه در نگهداری سوابق تجاری چیست؟,دفتر دارایی صورت جامعی از دارایی‌ها و دیون سالانه را ارائه می‌دهد، در حالی که دفتر کپیه برای ثبت تمام مراسلات و مخابرات تجاری استفاده می‌شود. (ماده 9 و ماده 10),"[9, 10]","[438, 7, 12, 9]",0.25
اهمیت ثبت دفاتر تجاری پیش از استفاده چیست و چه کسانی باید این کار را انجام دهند؟,ثبت دفاتر تجاری پیش از استفاده برای احراز صحت و دقت آنها ضروری است و باید توسط نماینده اداره ثبت انجام شود. (ماده 11 و ماده 12),"[11, 12]","[195, 9, 7, 135, 395]",0.0
چه محدودیت‌هایی برای نوشتن در دفاتر تجاری وجود دارد و تخلف از این محدودیت‌ها چه پیامدهایی دارد؟,محدودیت‌هایی مانند ممنوعیت تراشیدن، حک‌کردن، و جای سفید گذاشتن بیش از حد معمول وجود دارد. تخلف از این محدودیت‌ها می‌تواند منجر به جرایم نقدی شود. (ماده 13 و ماده 15),"[13, 15]","[195, 13]",0.5
شرایط ثبت نام تجار در دفتر ثبت تجارتی چیست و چه کسانی مشمول این شرط می‌شوند؟,تمامی اشخاصی که به شغل تجارت اشتغال دارند باید نام خود را در دفتر ثبت تجارتی به ثبت برسانند، این شامل اشخاص ایرانی و خارجی می‌شود. (ماده 16 و ماده 17),"[16, 17]","[195, 16]",0.5
چه اطلاعاتی باید توسط تاجر در اسناد تجاری خود ذکر شود و چه مقرراتی برای شناسایی کسبه جزء وجود دارد؟,تاجر باید در اسناد خود تصریح کند که تحت چه نمره‌ای به ثبت رسیده است. شناسایی کسبه جزء مطابق مقررات نظامنامه وزارت عدلیه انجام می‌گیرد. (ماده 18 و ماده 19),"[18, 19]","[416, 10, 128, 1, 7]",0.0
انواع شرکت‌های تجارتی و تعریف آنها چگونه است؟,انواع شرکت‌های تجارتی شامل شرکت سهامی، با مسئولیت محدود، تضامنی، مختلط غیر سهامی، مختلط سهامی، نسبی، و تعاونی تولید و مصرف می‌شوند. (ماده 20 و ماده 21),"[20, 21]","[4, 4, 174, 7, 163]",0.0
تفاوت بین شرکت‌های سهامی عام و خاص چیست و چه شرایطی برای تأسیس آنها وجود دارد؟,شرکت‌های سهامی عام به عموم مردم اجازه می‌دهند تا در آن سهام داشته باشند، در حالی که شرکت‌های سهامی خاص تنها با تعداد محدودی از سهامداران کار می‌کنند. شرایط تأسیس شامل ثبت رسمی و رعایت مقررات خاص است. (ماده 20 و ماده 22),"[20, 22]","[214, 144, 164, 172, 156]",0.0
چگونه می‌توان شرکتی را به ثبت رساند و چه مدارکی لازم است؟,برای ثبت یک شرکت، لازم است که اسناد و مدارک مربوط به تأسیس شرکت ارائه و مطابق با مقررات ثبت شوند. (ماده 22 و ماده 23),"[22, 23]","[8, 294, 60, 9, 279]",0.0
تفاوت اصلی بین شرکت با مسئولیت محدود و شرکت تضامنی چیست؟,در شرکت با مسئولیت محدود، شرکاء تنها تا میزان سرمایه‌ای که در شرکت گذاشته‌اند مسئول هستند، در حالی که در شرکت تضامنی، هر یک از شرکاء مسئول پرداخت تمام قروض شرکت است. (مواد 94 و 116),"[94, 116]","[214, 94]",0.5
چه مدارکی برای تشکیل شرکت با مسئولیت محدود نیاز است؟,برای تشکیل شرکت با مسئولیت محدود نیاز است که تمام سرمایه نقدی پرداخت شده و سهم‌الشرکه‌های غیر نقدی تقویم و تسلیم شود. (مواد 96 و 97),"[96, 97]","[8, 294, 9, 60, 279]",0.0
چگونه تغییرات در اساسنامه شرکت با مسئولیت محدود انجام می‌شود؟,هر تغییر در اساسنامه باید با اکثریت عددی شرکاء که لااقل سه ربع سرمایه را دارا باشند، انجام گیرد. (ماده 111),[111],"[42, 278, 43, 103, 214]",0.0
چه کسانی در شرکت با مسئولیت محدود می‌توانند به عنوان مدیر انتخاب شوند؟,در شرکت با مسئولیت محدود، مدیران می‌توانند از بین شرکاء یا افراد خارج از شرکت برای مدت محدود یا نامحدود انتخاب شوند. (ماده 104),[104],"[231, 124, 110, 147, 136]",0.0
چه زمانی شرکت با مسئولیت محدود می‌تواند منحل شود؟,شرکت با مسئولیت محدود می‌تواند در صورت تصمیم شرکاء با بیش از نصف سرمایه یا در صورتی که نصف سرمایه شرکت از بین برود و یکی از شرکاء انحلال را درخواست کند، منحل شود. (ماده 114),[114],"[127, 151, 124, 126, 174]",0.0
شرایط فسخ شرکت تضامنی چیست؟,فسخ شرکت تضامنی در صورتی ممکن است که در اساسنامه حق فسخ سلب نشده باشد و باید شش ماه قبل از فسخ، کتباً به شرکاء اعلام شود. (ماده 137),[137],"[171, 138, 136, 182, 151]",0.0
در صورت فوت یکی از شرکاء شرکت تضامنی، چه اقداماتی باید انجام شود؟,بقاء شرکت تضامنی موقوف به رضایت سایر شرکاء و قائم مقام متوفی است، و قائم مقام باید در مدت یک ماه از تاریخ فوت، رضایت یا عدم رضایت خود را اعلام کند. (ماده 139),[139],"[114, 131, 139]",0.3333333333333333
چگونه انتقال سهم‌الشرکه در شرکت با مسئولیت محدود انجام می‌گیرد؟,انتقال سهم‌الشرکه فقط با رضایت عدة از شرکاء که لااقل سه ربع سرمایه متعلق به آنها باشد و از طریق سند رسمی امکان‌پذیر است. (مواد 102 و 103),"[102, 103]",[103],1.0
چه کسانی مسئول خسارات ناشی از بطلان شرکت با مسئولیت محدود هستند؟,شرکائی که بطلان مستند به عمل آنها است و هیئت نظار و مدیرهایی که در حین حدوث سبب بطلان یا بلافاصله پس از آن سر کار بوده‌اند، متضامناً مسئول هستند. (ماده 101),[101],"[154, 114, 124, 153, 116]",0.0
چه زمانی یک شرکت تضامنی می‌تواند به شرکت سهامی مبدل شود؟,هر شرکت تضامنی با تصویب تمام شرکاء می‌تواند به شرکت سهامی مبدل شود، با رعایت تمام مقررات مربوط به شرکت‌های سهامی. (ماده 135),[135],"[151, 135]",0.5
 بعد از صدور حکم ورشکستگی، کدام تصرفات از سوی تاجر ورشکسته نافذ نیست؟,اقرار مبنی بر مالکیت مقرّله نسبت به یکی از اموال او (ماده 423),[423],"[127, 423]",0.5
